abandon 放弃；放纵$0
exposition 阐释；博览会$0
expository 说明的$0
expostulate 争论，抗议；告诫$0
exposure 暴露，显露，曝光$0
expound 解释；阐释$0
expressly 清楚地；特意地$0
expunge 删除$0
expurgate 删除；使纯洁$0
exquisite 精致的；近乎完美的$0
extant 现存的$0
extemporaneous 即席的，没有准备的$0
extemporize 即席演说$0
extend 延展，延长$0
extenuate 掩饰；减轻罪过$0
exterminate 消灭，灭绝$0
externalize 使…表面化$0
extinct 绝种的，不存在的$0
extinguish 使…熄灭；使…不复存在$0
extirpation 根除，铲除$0
extol 赞美$0
extort 勒索，敲诈$0
extract 拔出；强索$0
extraneous 外来的；无关的$0
extrapolate 预测，推测$0
extravagance 奢侈，挥霍$0
extremist 极端主义者$0
extricable 可解救的，能脱险的$0
extricate 摆脱，脱离；拯救，救出$0
extrovert 性格外向者$0
exuberance 愉快；茁壮$0
exuberant 充满活力的；茂盛的$0
exude 使慢慢流出；四溢$0
exult 欢腾，喜悦$0
fabric 纺织品；结构$0
fabricate 捏造；制造$0
facade 建筑物的正面；外表$0
facet 小平面$0
facetious 轻浮的，好开玩笑的$0
facile 容易做的$0
facilitate 使容易，促进$0
facilities 设备，工具$0
faction 派系；派系斗争$0
factorable 能分解成因子的$0
factotum 杂工，打杂$0
factual 真实的，事实的$0
faculty 全体教员；官能$0
fad 狂热，时尚$0
faddish 流行一时的，时尚的$0
fade 褪色，消失，凋谢$0
falcon 猎鹰；隼$0
fallacious 欺骗的；谬误的$0
fallacy 谬误，错误$0
fallibility 易于出错的，出错性$0
fallible 会犯错的，易犯错的$0
fallow 休耕地；休耕的$0
falsehood 谎言$0
falter 摇晃，蹒跚；支吾地说$0
familiarity 精通；亲近；不拘礼仪$0
famine 饥荒$0
famish 使饥饿$0
fanatic 狂热者$0
fang 毒牙$0
fantasy 想象；幻想$0
farce 闹剧；荒谬，胡闹$0
farewell 再会，再见；辞行，告别$0
far-reaching 影响深远的$0
fast 绝食，斋戒；很快地，紧紧地$0
fasten 固定某物$0
fastidious 难以取悦的；爱挑剔的$0
fastness 要塞，堡垒$0
fatal 致命的；灾难性的$0
fathom 英寻；彻底明白，了解$0
fatigue 疲乏，劳累$0
fatten 使长肥；使土壤肥沃$0
fatuity 愚蠢，愚昧$0
fatuous 愚昧而不自知的$0
faucet 水龙头$0
fault 错误；断层$0
faultfinder 喜欢挑剔的人$0
favorable 有利的；赞成的$0
fawn 未满周岁的小鹿$0
faze 使狼狈，折磨$0
feasible 可行的，可能的$0
feat 功绩，壮举$0
feature 特色，特点，特征$0
feckless 效率低的，不负责的$0
fecundity 多产，富饶；繁殖力，生殖力$0
feeble 虚弱的$0
feign 假装，伪装$0
feigned 假装的；不真诚的$0
feint 佯攻，佯击$0
felicitous 适当的，得体的$0
fell 兽皮；砍伐；凶猛的，毁灭性的$0
felon 重罪犯$0
felony 重罪$0
feminist 女权主义者$0
fender 挡泥板；护舷的垫子$0
feral 凶猛的；野的$0
ferment 发酵；骚动$0
fern 羊齿植物，蕨$0
ferret 雪貂；用雪貂猎取；搜寻$0
ferrous 含铁的$0
fertile 多产的；肥沃的$0
fertilize 受精，受粉；施肥$0
fertilizer 肥料，化肥$0
fervid 炽热的，热情的$0
fervor 热诚，热心$0
fester 溃烂，化脓$0
festive 欢乐的$0
fetid 有恶臭的$0
fetter 脚镣；束缚$0
fetus 胎儿$0
feud 宿怨，不和$0
fiasco 大失败，惨败$0
fiat 命令$0
fickle 易变的，不坚定的$0
fictitious 假的；虚构的$0
fidget 坐立不安；烦躁之人$0
fig 无花果；毫不理会；一点儿$0
figment 虚构的东西$0
figurative 比喻的，借喻的$0
figurehead 名义领袖；傀儡$0
figurine 小塑像，小雕像$0
file 锉刀；锉平；$0
filibuster 妨碍议事，阻挠$0
filigree 金银丝做的工艺品$0
filings 锉屑$0
filly 小母马$0
filter 滤纸$0
filth 肮脏；粗语$0
finale 最后，最终；乐曲的最后部分$0
finesse 技巧；计谋；手段$0
finicky 苛求的，过分讲究的$0
finite 有限的$0
firearm 枪支$0
firefly 萤火虫$0
fiscal 国库的$0
fissure 裂缝$0
fixate 使固定；使不变；注视，凝视$0
flaccid 松弛的；软弱的$0
flag 减弱，衰弱；枯萎$0
flagging 下垂的；衰弱的$0
flaggy 枯萎的；松软无力的$0
flail 连枷；打，打击$0
flak 高射炮；指责$0
flamboyant 艳丽的，炫耀的$0
flammable 易燃的$0
flange 凸缘，轮缘$0
flare 摇曳，闪耀$0
flask 烧瓶，细颈瓶$0
flatcar 平台型铁路货车$0
flatten 变平$0
flatter 恭维，奉承$0
flaw 瑕疵；生裂缝；有瑕疵$0
flax 亚麻$0
fledge 小鸟长飞羽，变得羽毛丰满$0
fledgling 幼鸟；无经验的人$0
fleeting 短暂的；飞逝的$0
flexible 易弯曲的，灵活的$0
flight 飞行，飞翔；逃跑$0
flimsy 轻而薄的；脆弱的$0
flinch 畏缩，退缩$0
flint 打火石，燧石$0
flip 无礼的；冒失的；轻率的$0
flirt 挑逗，调戏$0
flit 掠过，迅速飞过$0
flock 羊群；鸟群$0
floodgate 闸门$0
flora 植物群$0
florid 华丽的；红润的$0
flounder 挣扎；艰苦地移动；比目鱼$0
flourish 昌盛，兴旺；活跃而有影响力$0
flout 蔑视，违抗$0
fluctuate 波动；变化$0
fluffy 有绒毛的；空洞的$0
fluke 侥幸成功；意想不到的事$0
fluorescent 荧光的，发光的$0
flush 脸红；奔流；冲洗$0
flustered 慌张的$0
flutter 拍翅$0
fluvial 河流的，坐在河中的$0
flux 不断的变动；动荡不定$0
foible 小缺点，小毛病$0
foil 钝剑；箔，锡箔纸$0
fold 羊栏，畜栏；折叠$0
folder 文件夹，纸夹$0
foliage 叶子$0
folklore 民间传说；民俗学$0
folly 愚蠢；愚蠢的行为、思想或做法$0
foment 煽动；助长$0
foodstuff 食料，食品$0
foolproof 容易懂的，简单而不会误用的$0
foppish 纨绔子弟的；浮华的，俗丽的$0
forage 饲料，粮草；搜寻，翻寻$0
forager 为动物寻找饲料的人$0
forbearance 自制；忍耐$0
forbid 不许，禁止；妨碍，阻止$0
forbidding 冷淡的 ；形势险恶的$0
ford 浅滩，水浅可涉处；涉水$0
forebode 预感，凶兆$0
forecast 预报，预测$0
foreknowledge 预知$0
forerunner 预兆，前兆；先驱$0
foreshadow 预示$0
foresight 远见，深谋远虑$0
forestall 预先阻止；阻止$0
forestry 森林学；林产；林地$0
forfeit 丧失，被罚没收；丧失的东西$0
forge 铁匠铺；锤炼；伪造$0
forger 伪造者；打铁匠$0
forgery 伪造$0
forgo 放弃，抛弃$0
formality 遵循的规范；拘泥形式；正式$0
formation 组织，形成；编队$0
formidable 可怕的；难以克服的$0
formula 分子式；公式；套语，惯用语$0
forsake 遗弃，放弃$0
forte 长处，擅长的事；强音的$0
forthright 直率的$0
fortify 加强防卫$0
fortitude 坚毅，坚忍不拔$0
fortuitous 偶然发生的，巧合的；幸运的$0
forum 辩论的场所，论坛$0
forward 过激的；莽撞的$0
fosse 护城河$0
fossilize 成为化石；过时$0
foster 培养，鼓励；领养$0
foul 恶臭的；邪恶的；弄脏；犯规$0
founder 沉默；失败；摔倒，绊$0
four-poster 四柱大床$0
foyer 门厅，休息室$0
fracas 喧嚷，吵闹$0
fraction 碎片；小部分$0
fractious 易怒的，好争吵的$0
fracture 骨折；折断$0
fragile 易碎的，易坏的$0
fragment 碎片；分裂$0
fragrance 香料；香味$0
fragrant 芳香的$0
frail 脆弱的；不坚实的$0
frantic 疯狂的，狂乱的$0
fraud 欺诈，欺骗$0
fraudulent 欺骗的，不诚实的$0
fraught 充满…的$0
freckle 雀斑，斑点$0
freelancer 自由职业者$0
freight 货物；装货于$0
frenetic 狂乱的，发狂的$0
frenzy 极度激动的状态；狂暴$0
frequency 频率$0
frequent 时常来访；惯常的$0
fresco 壁画$0
fret 烦躁，焦虑$0
friable 易碎的$0
friction 摩擦；矛盾，冲突$0
frieze 横条，饰带$0
frigid 寒冷的；冷淡的$0
frigidity 寒冷；冷淡$0
fringe 须边；边缘$0
frisky 活泼的，快活的$0
frivolous 轻薄的，轻佻的$0
frond 蕨类或棕榈等的叶子$0
frothy 起泡的；空洞的$0
frugal 节约的，节俭的$0
fruition 实现，完成$0
frustrate 挫折，使沮丧$0
fulcrum 杠杆支点，支柱$0
fulfil 履行；满足，符合$0
full-blown 盛开的$0
full-bodied 浓郁而强烈的$0
full-fledged 羽毛丰满的；成熟的$0
fulminate 猛烈抨击，严厉谴责$0
fulsome 虚情假意的；充足的$0
fumble 摸索，笨拙搜寻；弄乱，搞糟$0
fume 愤怒；冒烟$0
fumigate 以烟熏消毒$0
functional 起作用的，能运转的$0
functionary 小官，低级公务员$0
fundamental 最根本的，基本的；十分重要的$0
fungi 菌类，蘑菇$0
fungicide 杀真菌剂$0
furnace 锅炉$0
furor 轰动；盛怒$0
furrow 犁沟；皱纹$0
furtive 偷偷的，秘密的$0
fusillade 齐射，连发$0
fusion 融合；聚变$0
fuss 大惊小怪$0
fussy 爱挑剔的$0
fusty 陈腐的；霉臭的$0
futile 无效的，无用的；没出息的；琐细的$0
futility 无用，无益$0
gadfly 虻，牛虻$0
gadget 小工具，小机械$0
gaffe 失言，失态$0
gaggle 鹅群$0
gainsay 否认$0
gait 步法，步态$0
galaxy 星群；显赫的人群$0
gall 胆汁；怨恨；激怒$0
gallant 勇敢的；献殷勤的$0
galley 船上的厨房$0
gallon 加仑$0
galvanize 电镀；通电；激励$0
gamble 赌博；孤注一掷$0
gambol 雀跃；嬉戏$0
gangway 跳板$0
gape 裂开；目瞪口呆地凝视$0
garble 曲解，篡改$0
garbled 引起误解的；篡改的$0
gardenia 栀子花$0
gargantuan 巨大的，庞大的$0
gargoyle 滴水嘴；面貌丑恶的人$0
garish 俗丽的；过于艳丽的$0
garment 衣服$0
garner 收藏，积累$0
garnish 装饰$0
garrulity 唠叨，饶舌$0
garrulous 唠叨的，饶舌的$0
gaseous 似气体的$0
gash 深长的伤口；裂缝$0
gasification 气化$0
gaucherie 笨拙$0
gaudy 俗丽的$0
gauge 标准规格；测量仪；测量$0
gavel 槌，小木槌$0
gaze 凝视，注视$0
gazetteer 地名词典，地名表$0
gear 齿轮；装备；仪器$0
gem 宝石，珠宝；精华$0
gene 基因$0
genealogy 家谱学$0
generality 概述$0
genaralize 归纳$0
generate 造成；产生$0
generation 一代人；代；产生，发生$0
generator 发电机$0
generic 种类的，类属的$0
generosity 慷慨，大方$0
genesis 创始，起源$0
genetic 遗传的；起源的$0
genetics 遗传学$0
genial 愉快的，脾气好的$0
genome 基因组，染色体组$0
genre 类型$0
genteel 上流社会的；装作彬彬有礼的$0
gentle 温和的，慈祥的$0
gentry 绅士，上等人$0
genuine 真的；真诚的$0
genus 属$0
geometrician 几何学家$0
germ 胚芽，芽孢；微生物，细菌$0
germane 有密切关系的；贴切的$0
germicide 杀菌剂$0
germinate 发芽；发展$0
gerontocracy 老人统治的政府$0
gerontology 老人病学$0
gerrymander 不公正地将划成选区$0
gesture 姿势，手势，姿态$0
geyser 天然热喷泉$0
gibe 嘲笑，讥笑$0
giddy 轻浮的，不严肃的$0
giddle 咯咯笑$0
gild 镀金，虚饰$0
gimmick 吸引人的花招，噱头$0
ginger 姜；活力$0
gingerly 小心的；谨慎的$0
girder 大梁$0
girth 腰身；周长$0
gist 要点，要旨$0
glacial 冰期的，冰河期的；寒冷的$0
 glade 林中的空地$0
gladiator 角斗士，与野兽搏斗者$0
glance 一瞥$0
glare 发出炫目光芒；怒目而视$0
glaze 装玻璃于；上釉彩；釉$0
glean 拾落穗；收集$0
glib 流利圆滑的，善辩的$0
glide 滑行，滑动$0
glimmer 发微光；摇曳的微光$0
glisten 闪烁，闪耀$0
glitch 小故障$0
gloat 幸灾乐祸地看，窃喜$0
gloom 黑暗；忧郁$0
gloomy 阴暗的；没有希望的；阴郁的$0
gloss 光泽；注解$0
glossary 词汇表；难词表$0
glossy 光泽的，光滑的$0
glow 光亮，发热；红$0
glower 怒目而视$0
glowing 热情赞扬的$0
glucose 葡萄糖$0
glut 过多；供过于求$0
glutinous 粘的，胶状的$0
gluttonous 贪吃的，贪嘴的$0
gnarled 多节的；粗糙的$0
gnaw 啃，咬$0
goad 赶牛棒；刺激，激励$0
gobble 贪婪地吃；吞没$0
goblet 高脚酒杯$0
goldbrick 逃避责任，偷懒$0
goodwill 友好$0
gospel 教义，信条$0
gossamer 蛛丝；薄纱；轻而薄的$0
gouge 半圆凿；挖出；敲竹杠$0
gourmand 嗜食者$0
gourmet 美食家$0
grace 优美$0
gracious 大方的，和善的$0
gradation 渐变；阶段，等级$0
graduated 按等级分的$0
graft 嫁接$0
grain 谷物；小的硬粒$0
grandeur 壮丽，伟大$0
grandiose 宏伟的；夸大的$0
grandstand 大看台；哗众取宠$0
granite 花岗石$0
grant 同意给予$0
graphic 图表的$0
graphite 石墨$0
grasping 贪心的，贪婪的$0
grate 吱嘎磨碎；使人烦躁$0
grateful 感激的$0
gratification 满足，喜悦$0
gratify 使高兴，使满足$0
grating 刺耳的；恼人的$0
gratitude 感激$0
gratuitous 无缘无故的$0
gratuity 赏钱，小费$0
grave 严峻的；墓穴$0
gravel 碎石，砂砾$0
gravitational 万有引力的$0
gravity 严肃，庄重$0
graze 吃草；放牧$0
grease 动物油脂；滑脂$0
green 新鲜的，未成熟的；无经验的$0
greenhouse 花房，温室$0
gregarious 群居的；爱社交的$0
gregariousness 群居；合群$0
grief 忧伤，悲伤$0
grievance 委屈，抱怨$0
grieve 使某人极为悲伤$0
grievous 严重伤害的$0
grill 烤；拷问；烤架$0
grim 冷酷的，可怕的$0
grimace 做鬼脸，面部歪曲$0
grin 露齿而笑$0
grind 枯燥乏味的工作；磨碎，碾碎$0
gripe 抱怨$0
gripping 紧紧抓住注意力的$0
grisly 恐怖的，可怕的$0
gristle 软骨；肉中难吃的硬组织$0
grit 沙粒；决心，勇气；下定决心，咬紧牙关$0
groan 呻吟，叹息$0
groom 马夫；新郎$0
groove 凹线；线条；习惯$0
grope 摸索，探索$0
gross 总的；粗野的；整个，全部$0
grotto 洞穴$0
grouch 牢骚，不满$0
grounded 有理由的；地面上$0
group 使…集合；群，集$0
grouse 松鸡；发牢骚，诉苦$0
grove 小树林，树丛$0
grovel 摇尾乞怜，奴颜婢膝$0
grueling 繁重而累人的$0
grumble 喃喃诉苦，发怨言$0
guarantee 保证，担保$0
guffaw 哄笑，大笑$0
guile 欺诈；狡猾$0
guileless 厚道的，老实的$0
guillotine 断头台$0
guilt 罪行；内疚$0
guilty 有罪的$0
guise 外观，装束$0
gullible 易受骗的$0
gulp 吞食，咽下$0
gum 树胶，橡皮$0
guru 古鲁；教师或权威$0
gush 涌出；滔滔不绝地说$0
gusher 滔滔不绝的说话者$0
gust 阵风；一阵$0
gustation 品尝；味觉$0
gustatory 味觉的，品尝的$0
gutter 水槽；街沟$0
guy 支索，牵索$0
guzzle 大吃大喝$0
gyrate 旋转的；旋转$0
habitat 自然环境，栖息地$0
habituate 使习惯于$0
hack 乱劈，乱砍；雇佣文人$0
hackneyed 陈腐的，不新奇的$0
hail 冰雹；致敬$0
halcyon 平静的；愉快的$0
hale 健壮的，矍铄的$0
halfhearted 不认真的，不热心的$0
hallmark 纯度印记；特征$0
hallow 把…视为神圣，尊敬$0
hwllowed 神圣的$0
hallucination 幻觉$0
halo 晕；神像之光环$0
halting 踌躇的，吞吞吐吐的$0
hammer 锤子，槌$0
hamper 妨碍，阻挠；有盖提篮$0
handle 柄，把手；处理$0
hangar 飞机库$0
hangdog 忧愁的；低贱的$0
handkering 渴望$0
haphazard 任意的，偶然的$0
harangue 长篇指责性演说$0
harass 侵扰，烦扰$0
harbinger 先驱，先兆$0
harbor 港，避难所；包庇，隐匿$0
harden 变硬，变坚强$0
hardheaded 现实的，精明的$0
hardy 耐寒的；强壮的$0
harmony 相符，一致；协调，匀称$0
harness 马具；束以马具；利用$0
harp 竖琴；喋喋不休地说或写$0
harpsichord 键琴$0
harridan 凶恶的老妇，老巫婆$0
harrow 耙；使痛苦$0
harrowing 悲痛的，难受的$0
harry 掠夺；袭扰；折磨$0
harsh 严厉的；粗糙的；刺耳的$0
harshly 严酷地，无情地$0
hasten 催促，促进$0
hasty 急急忙忙的$0
hatch 船舱盖；孵化$0
haughty 傲慢的，自大的$0
haunt 常到；鬼魂出没；萦绕心头；常去的地方$0
hauteur 傲慢的，自大的$0
haven 安息所，避难所$0
havoc 大破坏，混乱$0
hawk 隼，鹰$0
hazard 危险$0
hazardous 危险的$0
headlong 轻率的，迅猛的$0
headstrong 刚愎自用的$0
headway 进步，进展$0
heal 治愈$0
hearken 倾听$0
hearten 鼓励，激励$0
heartrending 令人心碎的$0
heavy-handedness 笨拙，粗劣$0
heckle 诘问，困扰$0
hectic 兴奋的；繁忙的$0
hector 凌辱，威吓$0
hedge 树篱；限制$0
hedonist 享乐主义者$0
heed 注意，留心；关心$0
hegemony 霸权，领导权$0
heinous 十恶不赦的，可憎的$0
heir 继承人$0
heirloom 传家宝$0
helmet 头盔，钢盔$0
hem 包围；吞吞吐吐地说；袖边，边缘$0
hemisphere 半球$0
hemophilia 血友病，出血不止$0
hemorrhage 出血$0
hemostat 止血器；止血剂$0
herbaceous 草本植物的$0
herbicide 除草剂$0
herbivorous 食草的$0
herd 兽群；聚集$0
hereditary 祖传的，世袭的$0
heresy 异端邪说$0
heretic 异教徒$0
herretical 异端邪说的$0
hermetic 密封的；深奥的$0
hermit 隐士，修道者$0
herpetologist 爬行动物学家$0
heterodox 异端的，非正统的$0
heterogeneous 异类的，不同的$0
hew 砍伐；遵守$0
hexagon 六角形，六边形$0
hiatus 孔隙，裂缝$0
hibernate 冬眠，蛰伏$0
hide 兽皮$0
hidebound 顽固的，心胸狭窄的$0
hideous 讨厌的，丑恶的$0
hie 疾走；催促$0
hierarchy 阶层；等级制度$0
hieroglyph 象形文字，图画文字$0
hieroglyphic 象形文字，图画文字$0
highbrow 自以为文化修养很高的人$0
hike 高涨，上升；徒步旅行$0
hilarious 充满欢乐的；引起大笑的$0
hinder 阻碍，妨碍$0
hinge 铰链；关键$0
hirsute 多毛的$0
hiss 作嘘声；发出嘶嘶声$0
histology 细胞组织学$0
histrionic 演戏的；剧院的$0
hitherto 到目前为止$0
hive 蜂房；忙碌之地$0
hoard 贮藏，秘藏$0
hoary 灰白的；古老的$0
hoax 骗局，欺骗$0
hodgepodge 混淆；杂烩$0
hoe 锄头$0
hoist 吊高，升起；起重机$0
hold 货舱$0
holster 手枪皮套$0
homage 效忠，崇敬$0
homeostasis 体内平衡$0
homiletics 讲道术，说教术$0
homogeneity 同种，同质$0
homogeneous 同类的，相似的$0
homogenize 使均匀，使一致$0
hone 磨刀石；磨刀$0
honorarium 酬劳金，谢礼$0
hoodwink 蒙混，欺骗$0
hoof 蹄$0
hoop 箍，铁环$0
horizontal 水平的$0
hormone 荷尔蒙，激素$0
horn 角，角质；喇叭$0
horrific 可怕的，令人恐惧的$0
hortative 激励的$0
horticulture 园艺学$0
hospitable 思想开放的，善于接受的$0
hostile 敌对的，敌意的$0
hostility 敌对，不友好；憎恨$0
hovel 茅舍；肮脏的小屋$0
hover 翱翔；徘徊$0
hub 轴心$0
hubris 过分自傲，目中无人$0
huckster 叫卖小贩，零售商$0
hue 色彩，色泽$0
hulk 废船，船壳；笨重的人或物$0
hull 外壳；荚；船身；剥去外壳$0
humane 人道的，慈悲的$0
humble 卑微的；使谦卑$0
humdrum 单调的，乏味的$0
humid 湿润的$0
humidity 湿度，湿气$0
humiliate 使屈辱$0
humility 谦逊，谦恭$0
humor 纵容，迁就$0
hunch 直觉，预感$0
hurdle 跳栏；障碍；克服$0
hurl 猛投；大声叫骂$0
hurricane 飓风$0
husband 妥善而又节约地管理$0
husbandry 耕种，务农；节俭；管理$0
hush 肃静，安静$0
husk 外壳；皮，荚$0
husky 声音沙哑的$0
hybrid 杂种；混血人$0
hydrant 水龙头；消防栓$0
hydrate 水化物；水化$0
hymn 赞美诗$0
hyperactivity 活动过强，极度亢奋$0
hyperbole 夸张法$0
hypertension 高血压$0
hyphen 连字号$0
hypnotic 催眠的$0
hypocrite 伪善者，伪君子$0
hypocritical 虚伪的$0
hypotenuse 斜边$0
hypothesis 假设，假说$0
hypothetical 假设的$0
hysteria 歇斯底里症；过度兴奋$0
icicle 冰柱，冰垂$0
icon 圣像，偶像$0
iconoclast 攻击传统观念或风俗的人$0
ideology 思想体系，思想意识，意识形态$0
idiom 习语，语言的习惯用法；特色$0
idle 无所事事；无效的；懒散，无所事事$0
idolater 神像崇拜者$0
idyll 田园生活；田园诗$0
igneous 火的，火绒的$0
ignite 发光；点燃，燃烧$0
ignoble 卑鄙的$0
ignominious 可耻的；耻辱的$0
ignominy 羞耻，屈辱$0
ignorant 无知的，愚昧的$0
illegal 违法的$0
illegitimate 不合法的；私生的$0
illicit 违法的$0
illiterate 文盲的$0
illuminate 阐明，解释；照亮$0
illuminati 先觉者，智者$0
illusion 假象，错觉$0
illusive 迷惑人的，迷幻的$0
illusory 虚幻的$0
illlstrate 为…做插图或图表；说明，阐明$0
imbibe 饮；吸入$0
imbroglio 纠纷，纠葛$0
imbue(with) 灌输强烈的情感或意见$0
imitation 赝品；效法，冒充$0
imitative 模仿的$0
immaculate 洁净的，无暇的$0
immanent 内在的；普遍存在的$0
immemorial 太古的，极古的$0
immense 极大的；无限的$0
immensity 巨大之物；无限$0
immerse 浸入；沉浸于$0
imminent 即将发生的，逼近的$0
immolate 牺牲，焚祭$0
immune 免疫的；免除的$0
immunity 免疫；豁免$0
immunize 使免疫$0
immure 监禁$0
imp 小鬼；顽童$0
impact 冲击，影响$0
impair 损害，使弱$0
impale 刺入，刺中$0
impalpable 无法触及的；不易理解的$0
impart 传授，告知$0
impartial 公平的，无私的$0
impasse 僵局；死路$0
impassioned 慷慨激昂的$0
impassive 无动于衷的，冷漠的$0
impeach 指责；弹劾$0
impeccable 无瑕疵的$0
impecunious 一文不名的，贫困的$0
impede 妨碍$0
impediment 妨碍；阻碍物$0
impel 推进；驱使$0
impending 行将发生的，逼近的$0
impenetrable 不能穿透的；不可理解的$0
impenitent 不悔悟的$0
imperative 急需的$0
imperial 帝王的，至尊的$0
imperious 傲慢的，专横的$0
impermanent 暂时的$0
impermeable 不可渗透的，透不过的$0
impersonate 模仿；扮演$0
impertinence 无礼，粗鲁$0
imperturbable 冷静的，沉着的$0
impervious 不能渗透的；不为所动的$0
impetuous 冲动的，鲁莽的$0
impetus 推动力；刺激$0
impinge 侵犯；撞击$0
implant 注入；灌输$0
implausible 难以置信的$0
implement 工具，器具；实现，实施$0
implicate 牵连；暗示$0
implication 暗示$0
implicit 含蓄的，不言而喻的$0
implode 内爆；剧减$0
implore 哀求，恳求$0
impolitic 不智的，失策的$0
imponderable 无法衡量的$0
import 进口，输入；意义$0
importune 强求，不断请求$0
impose 征；加于；强加于$0
imposing 壮丽的，雄伟的$0
impostor 冒充者，骗子$0
imposture 冒充者，骗子$0
impoverish 使成赤贫$0
impregnable 攻不破的，征服不了的$0
impresario 经理人，主办者$0
impressed 被打动的；被感动的$0
impression 印象，感想；盖印，压痕$0
impressionable 易受影响的$0
imprint 盖印，刻印$0
impromptu 即席的，即兴的$0
improvident 不节俭的，无远见的$0
improvise 即席而坐$0
imprudent 轻率的；不智的$0
impudent 鲁莽的，无礼的$0
impugn 指责，对…表示怀疑$0
impuissance 无力，虚弱$0
impulse 冲动；刺激$0
impunity 免除惩罚$0
inadvertence 漫不经心$0
inalienable 不可剥夺的$0
inane 无意义的；愚蠢的；空洞的$0
inanimate 无生命的$0
inappreciable 微不足道的$0
inaugural 就职的，开幕的$0
inaugurate 举行就职典礼；开创$0
inborn 天生的，天赋的$0
incandescence 白炽，炽热发光$0
incantation 咒语$0
incarcerate 下狱，监禁$0
incarnate 具有肉体的；化身的$0
incendiary 防火的，纵火的$0
incense 香，香味；激怒$0
incentive 刺激，鼓励；刺激因素$0
inception 开端，开始；取得学位$0
incessant 无间断的，连续的$0
inch 慢慢前进，慢慢移动$0
inchoate 刚开始的；未发展的$0
incidence 事情发生；发生率$0
incinerate 焚化，毁弃$0
incipient 初期的，刚出现的$0
incise 切，切割$0
incision 切口；切割$0
incisive 一针见血的$0
incite 激发，刺激$0
inclement 严酷的；严厉的$0
inclusive 包含一切的，范围广的$0
incogitant 无思维能力的，考虑不周的$0
incommensurate 不成比例的，不相称的$0
incompatible 不能和谐共存的$0
incompetent 无能力的，不能胜任的$0
incongruity 不协调，不相称的$0
inconsequential 不重要的，微不足道的$0
inconstancy 反复无常$0
incontrovertible 无可辩驳的$0
incorporate 合并，并入$0
incorrigible 积习难改的，不可救药的$0
incorruptible 不受腐蚀的$0
incredulity 怀疑，不相信$0
increment 增值，增加$0
incriminate 连累，牵连$0
incubate 孵化；潜伏$0
incubation 孵卵期；潜伏期$0
incubator 孵卵器；早产婴儿保育箱$0
incubus 噩梦；梦魇般的精神压力，负担$0
inculcate 谆谆教诲，灌输$0
inculpate 连累；控告；归咎于$0
incumbent 在职者，现任者；义不容辞的$0
incur 招惹$0
indebted 感激的，感恩的$0
indecipherable 无法破译的$0
indecisive 非决定性的，迟疑不决的$0
indefatigable 不知疲倦的$0
indelible 擦拭不掉的，不可磨灭的$0
indemnify 赔偿，偿付$0
indemnity 赔偿；保障$0
indent 切割成锯齿状$0
indenture 契约，合同$0
indicate 显示，指出；象征$0
indict 控诉，起诉$0
indifferent 不感兴趣的，漠不关心的$0
indigence 贫穷$0
indigenous 土产的，本地的；天生的$0
indigent 贫穷的；贫困的$0
indignant 愤慨的，愤愤不平的$0
indignation 愤慨$0
indignity 侮辱，轻蔑；侮辱性的言行$0
indispensability 不可缺少$0
individual 单独的，特有的；个人，个体$0
indoctrinate 教导；灌输思想$0
indolent 懒惰的$0
indubitable 不容置疑的$0
induce 诱导；引起$0
induct 使就职；引起$0
induction 就职，入伍仪式；归纳$0
indulge 放纵；满足$0
indurate 使坚硬；使巩固$0
industrious 勤劳的，勤勉的$0
ineffable 妙不可言的$0
ineffectual 无效的，徒劳无益的$0
inelasticity 无弹性，无伸缩性$0
ineluctable 不能逃避的$0
inept 无能的；不适当的$0
ineptitude 无能，不称职$0
inequity 不公正，不公平$0
inert 惰性的；行动迟钝的$0
inertia 惰性；懒惰$0
inexhaustible 用不完的，取之不竭的$0
inexorable 不为所动的；坚决不变的$0
inexplicable 无法解释的$0
infant 婴儿$0
infantry 步兵$0
infatuation 迷恋$0
infection 传染，感染$0
infelicitous 不幸的，不妥当的$0
infelicity 不幸；不恰当$0
infer 推断，推定$0
inferior 下级的，低等的，质次的，较差的$0
inferno 火海，地狱般的场所$0
infest 骚扰，扰乱$0
infiltrate 渗透，渗入$0
infinitesimal 极微小的；极小量$0
infinity 无限的时间或空间$0
infirm 虚弱的$0
inflame 使燃烧；激怒$0
inflamed 发炎的$0
inflate 使充气，使膨胀$0
inflict 遭受$0
influx 注入，涌入$0
informed 见多识广的；消息灵通的$0
infraction 违法的$0
infringe 违反，侵害$0
infuriate 使极为愤怒$0
infuse 灌输；鼓励$0
ingenious 聪明的，有法明天才的$0
ingenue 天真无邪的少女$0
ingenuity 巧思，聪敏$0
ingenuous 淳朴的，单纯的$0
ingest 咽下，吞下$0
ingestion 摄取，吸收$0
ingrained 根深蒂固的$0
ingrate 忘恩负义的人$0
ingratiate 逢迎，讨好$0
ingratiating 讨好的，谄媚的$0
ingredient 成分；原料$0
inhabit 栖居于，占据$0
inhabitant 居民；栖息的动物$0
inherit 继承$0
inhumane 不近人情的$0
inimical 敌意的，不友善的$0
inimitable 无法仿效的，不可比拟的$0
iniquitous 邪恶的，不公正的$0
iniquity 邪恶，不公正$0
initial 开始的，最初的；首字母$0
