a art.一(个)；每一(个)$0
contrast n.对比，对照，悬殊$0
contribute vt.捐献，捐助；投稿$0
control vt.控制，克制 n.控制$0
convenience n.便利，方便；厕所$0
convenient a.便利的；近便的$0
convention n.习俗，惯例；公约$0
conventional a.普通的；习惯的$0
conversation n.会话，非正式会谈$0
conversely ad.相反地$0
conversion n.转变，转化；改变$0
convert vt.使转变；使改变$0
convey vt.传送；运送；传播$0
convince vt.使确信，使信服$0
cook vt.烹调，煮 vt.烧菜$0
cool a.凉的，冷静的$0
cooperate vi.合作，协作；配合$0
coordinate vt.使协调，调节$0
cope vi.对付，应付$0
copper n.铜；铜币，铜制器$0
copy n.抄件 vt.抄写，复制$0
cord n.细绳，粗线，索$0
cordial a.真诚的，诚恳的$0
core n.果实的心，核心$0
corn n.谷物；(英)小麦$0
corner n.角；犄角；边远地区$0
corporation n.公司，企业；社团$0
correct a.正确的 vt.纠正$0
correction n.改正，纠正，修改$0
correspond vi.相符合；相当$0
correspondent n.通信者；通讯员$0
corresponding a.相应的；符合的$0
corridor n.走廊，回廊，通路$0
cost n.价格，代价；成本$0
costly a.昂贵的；价值高的$0
cottage n.村舍，小屋$0
cotton n.棉；棉线；棉布$0
cough vi.咳，咳嗽 n.咳嗽$0
could aux.v.(can的过去式)$0
council n.理事会，委员会$0
count vt.计算 vi.数，计数$0
counter n.柜台；计数器$0
country n.国家，国土；农村$0
countryside n.乡下，农村$0
county n.英国的郡，美国的县$0
couple n.夫妇；(一)对；几个$0
courage n.勇气，胆量，胆识$0
course n.课程；过程；一道菜$0
court n.法院，法庭；庭院$0
cousin n.堂(或表)兄弟(姐妹)$0
cover vt.盖，包括 n.盖子$0
cow n.母牛，奶牛；母兽$0
coward n.懦夫；胆怯者$0
crack n.裂缝，裂纹 vi.爆裂$0
craft n.工艺；手艺，行业$0
crane n.起重机，摄影升降机$0
crash vi.碰撞，坠落 n.碰撞$0
crawl vi.爬，爬行$0
crazy a.疯狂的，荒唐的$0
cream n.奶油，乳脂；奶油色$0
create vt.创造；引起，产生$0
creative a.创造性的，创作的$0
creature n.生物，动物，家畜$0
credit n.信用贷款；信用$0
creep vi.爬行；缓慢地行进$0
crew n.全体船员$0
cricket n.板球；蟋蟀$0
crime n.罪，罪行；犯罪$0
criminal n.犯人，罪犯，刑事犯$0
cripple n.跛子；残废的人$0
crisis n.危机；存亡之际$0
critic n.批评家，爱挑剔的人$0
critical a.决定性的；批评的$0
criticism n.批评；批判；评论$0
criticize vt.批评；评论；非难$0
crop n.农作物，庄稼；一熟$0
cross vt.穿过；使交*$0
crow n.鸦，乌鸦 vi.啼$0
crowd n.群；大众；一伙人$0
crown n.王冠，冕；花冠$0
crude a.简陋的；天然的$0
cruel a.残忍的，残酷的$0
crush vt.压碎，碾碎；镇压$0
crust n.面包皮；硬外皮$0
cry vi.哭，哭泣；叫喊$0
crystal n.水晶，结晶体；晶粒$0
cube n.立方形；立方$0
cubic a.立方形的；立方的$0
cucumber n.黄瓜$0
cultivate vt.耕；种植；培养$0
culture n.文化，文明；教养$0
cunning a.狡猾的，狡诈的$0
cup n.杯子；(一)杯；奖杯$0
cupboard n.碗柜，碗碟橱；食橱$0
cure vt.医治；消除 n.治愈$0
curiosity n.好奇，好奇心；珍品$0
curious a.好奇的；稀奇古怪的$0
curl n.卷毛；螺旋 vi.卷曲$0
current a.当前的；通用的$0
curse n.诅咒，咒骂；天谴$0
curtain n.帘，窗帘；幕(布)$0
curve n.曲线；弯 vt.弄弯$0
cushion n.垫子，坐垫，*垫$0
custom n.习惯，风俗；海关$0
customer n.顾客，主顾$0
cut vt.切，割，剪；减少$0
cycle n自行车，循环$0
daily a.每日的 n.日报$0
dairy n.牛奶场；乳制品$0
dam n.水坝，水堤；障碍物$0
damage vt.损害，毁坏 n.损害$0
damp a.潮湿的，有湿气的$0
dance vi.跳舞；摇晃 n.舞$0
danger n.危险；危险事物$0
dangerous a.危险的，不安全的$0
dare vt.&aux.v.敢；竟敢$0
daring a.大胆的，勇敢的$0
dark a.暗的；黑色的$0
darling n.亲爱的人；宠儿$0
dash vt.使猛撞；溅 n.猛冲$0
data n.数据; 资料$0
date n.日期 vt.注…日期$0
daughter n.女儿$0
dawn n.黎明；开端 vi.破晓$0
day n.(一)天，白昼，白天$0
daylight n.白昼，日光；黎明$0
dead a.死的，无生命的$0
deadly a.致命的，死一般的$0
deaf a.聋的；不愿听的$0
deal n.买卖；待遇 vt.给予$0
dear a.亲爱的 int.啊$0
death n.死，死亡；灭亡$0
debate n.&vi.争论，辩论$0
debt n.债，债务，欠债$0
decade n.十年，十年期$0
decay vi.腐烂；衰败 n.腐烂$0
deceit n.欺骗，欺诈$0
deceive vt.欺骗，蒙蔽，行骗$0
December n.十二月$0
decent a.正派的；体面的$0
decide vt.决定，决心；解决$0
decision n.决定，决心；果断$0
deck n.甲板；舱面；层面$0
declare vt.断言；声明；表明$0
decorate vt.装饰，装璜，修饰$0
decrease vi.&n.减少，减少$0
deduce vt.演绎，推论，推断$0
deed n.行为；功绩；契约$0
deep a.深的；纵深的$0
deepen vt.加深 vi.深化$0
deer n.鹿$0
defeat vt.战胜，击败；挫败$0
defect n.缺点，缺陷，欠缺$0
defence n.防御；防务；辩护$0
defend vt.保卫，防守$0
define vt.给…下定义；限定$0
definite a.明确的；肯定的$0
definitely ad.一定地，明确地$0
definition n.定义，释义；定界$0
degree n.程度；度；学位$0
delay vt.推迟；耽搁；延误$0
delete vt.删除；擦掉$0
delegation n.代表团$0
delicate a.纤细的；易碎的$0
delicious a.美味的，怡人的$0
delight n.快乐 vt.使高兴$0
deliver vt.投递，送交；发表$0
delivery n.投递；交付；分娩$0
demand vt.要求；需要；询问$0
democracy n.民主，民主制$0
democratic a.民主的，民主政体的$0
demonstrate vt.说明；论证；表露$0
dense a.密集的；浓厚的$0
density n.密集，稠密；密度$0
deny vt.否定；拒绝相信$0
depart vi.离开，起程；出发$0
department n.部，司，局，处，系$0
departure n.离开，出发，起程$0
depend vi.依*，依赖；相信$0
dependent a.依*的，依赖的$0
deposit vt.使沉淀；存放$0
depress vt.使沮丧；按下$0
depth n.深度；深厚；深处$0
derive vt.取得 vi.起源$0
descend vi.下来，下降；下倾$0
describe vt.形容；描写，描绘$0
description n.描写，形容；种类$0
desert n.沙漠 vt.离弃；擅离$0
deserve vt.应受，值得$0
design vt.设计 n.设计；图样$0
desirable a.值得相望的；可取的$0
desire vt.相望；要求 n.愿望$0
desk n.书桌，办公桌$0
despair n.绝望 vi.绝望$0
desperate a.拼死的；绝望的$0
despise vt.鄙视，蔑视$0
despite prep.不管，不顾$0
destination n.目的地，终点；目标$0
destroy vt.破坏；消灭；打破$0
destruction n.破坏，毁灭，消灭$0
detail n.细节；枝节；零件$0
detect vt.察觉，发觉；侦察$0
detection n.察觉，发觉；侦察$0
determination n.决心；决定；确定$0
determine vt.决定；查明；决心$0
develop vt.发展；形成；开发$0
development n.发展；开发；生长$0
device n.器械，装置；设计$0
devil n.魔鬼，恶魔$0
devise vt.设计，发明$0
devote vt.将…奉献，致力于$0
dew n.露，露水$0
diagram n.图解，图表，简图$0
dial n.钟面；拨号盘 vt.拨$0
dialect n.方言，土语，地方话$0
dialog n.对话，对白$0
diameter n.直径$0
diamond n.金钢石，钻石；菱形$0
diary n.日记，日记簿$0
dictate vt.&vi.口授；命令$0
dictation n.口授笔录，听写$0
dictionary n.词典，字典$0
die vi.死，死亡；灭亡$0
differ vi.不同，相异$0
difference n.差别；差；分歧$0
different a.差异的；各种的$0
difficult a.困难的；难对付的$0
difficulty a.困难；难事；困境$0
dig vt.掘，挖；采掘$0
digest vt.消化；领会 n.文摘$0
digital a.数字的，计数的$0
diligent a.勤勉的，勤奋的$0
dim a.昏暗的；朦胧的$0
dimension n.尺寸，尺度；面积$0
dinner n.正餐，主餐；宴会$0
dip vt.浸，蘸 vi.浸一浸$0
direct a.直接的；直率的$0
direction n.方向，方位；指导$0
directly ad.直接地；立即$0
director n.指导者；理事；导演$0
dirt n.尘，土；污物，污垢$0
dirty a.脏的；下流的$0
disable vt.使无能，使伤残$0
disadvantage n.不利，不利地位$0
disagree vi.有分歧；不一致$0
disappear vi.不见，失踪；消失$0
disappoint vt.使失望，使受挫折$0
disaster n.灾难，灾祸；天灾$0
disk n.圆盘，唱片；磁盘$0
discard vt.丢弃，抛弃，遗弃$0
discharge vt.释放；排出 n.释放$0
discipline n.纪律；训练 vt.训练$0
disclose vt.揭开，揭发；透露$0
discourage vt.使泄气，使灰心$0
discover vt.发现；暴露，显示$0
discovery n.发现；被发现的事物$0
discuss vt.讨论，谈论；论述$0
discussion n.讨论，谈论；论述$0
disease n.病，疾病；病害$0
disguise vi.隐瞒，掩埋 n.假装$0
disgust n.厌恶，憎恶$0
dish n.碟，盘子；菜肴$0
dishonour n.不光彩；丢脸的人$0
dislike vt.&n.不喜爱，厌恶$0
dismiss vt.不再考虑；解雇$0
disorder n.混乱，杂乱；骚乱$0
display vt.陈列，展览；显示$0
disposal n.丢掉，处理，销毁$0
dispose vi.去掉，丢掉；销毁$0
displease vt.使不愉快，使生气$0
dispute vi.争论，争执 n.争论$0
dissatisfy vi.使不满，使不平$0
dissolve vt.使溶解；解散$0
distance n.距离，间距；远处$0
distant a.在远处的，疏远的$0
distinct a.与其他不同的$0
distinction n.差别，不同，区分$0
distinguish vt.区别，辨别，认别$0
distress n.忧虑，悲伤；不幸$0
distribute vt.分发，分送；分布$0
distribution n.分发，分配；分布$0
district n.区；地区，区域$0
disturb vt.打扰，扰乱；弄乱$0
ditch n.沟，沟渠，渠道$0
dive vi.跳水；潜水；俯冲$0
diverse a.不一样的，相异的$0
divide vt.分；分配；分开$0
division n.分，分配；除法$0
divorce n.离婚，离异 vi.离婚$0
do aux.v. vt.做，干，办$0
dock n.船坞；码头；船厂$0
doctor n.医生，医师；博士$0
document n.公文，文件；证件$0
dog n.狗，犬，犬科动物$0
dollar n.元(货币单位)$0
domestic a.本国的；家庭的$0
donkey n.驴；笨蛋$0
door n.门，通道；一家$0
dorm n.宿舍$0
dormitory n.集体寝室；宿舍$0
dose n.剂量，用量；一剂$0
dot n.点，圆点 vt.打点于$0
double a.两倍的；双的$0
doubt n.怀疑；疑虑 vt.怀疑$0
doubtful a.难以预测的；怀疑的$0
doubtless ad.无疑地；很可能$0
down ad.向下，在下面$0
downstairs ad.在楼下 a.楼下的$0
downward a.向下的 ad.向下地$0
dozen n.一打，十二个$0
draft n.草稿；汇票 vt.起草$0
drag vt.拖，拉；拖曳$0
dragon n.龙；凶暴的人$0
drain vt.排去；放水 n.耗竭$0
drama n.一出戏剧，剧本$0
dramatic a.引人注目的，戏剧的$0
draw vt.画，划；拖；拨出$0
drawer n.抽屉$0
drawing n.图画，素描；绘图$0
dread n.畏惧；恐怖 vt.惧怕$0
dream n.梦；梦想 vi.做梦$0
dress n.女服，童装；服装$0
drift vi.漂流，漂泊 n.漂流$0
drill n.钻头；操练 vi.钻孔$0
drink vt.饮 vi.喝 n.饮料$0
drip vi.滴下；漏水 n.水滴$0
drive vt.驾驶；打入；驱$0
driver n.驾驶员，司机$0
drop vt.使落下；降低$0
drought n.旱灾，干旱$0
drown vi.淹死，溺死$0
drug n.药，药物，药材$0
drum n.鼓；鼓状物，圆桶$0
drunk a.醉的；陶醉的$0
dry a.干的，干燥的$0
duck n.鸭，雌鸭；鸭肉$0
due a.预期的；应给的$0
dull a.枯燥的；不鲜明的$0
dumb a.哑的；无言的$0
dump vt.倾卸，倾倒；倾销$0
durable a.耐久的，耐用的$0
duration n.持续，持久$0
during prep.在…期间$0
dusk n.薄暮，黄昏，幽暗$0
dust n.尘土，灰尘$0
duty n.职责；责任；税$0
dwelling n.住处，寓所$0
dye vt.染 n.染料；染色$0
dying a.垂死的；临终的$0
dynamic a.有活力的；动力的$0
each pron.各，各自 a.各$0
eager a.渴望的，热切的$0
eagle n.鹰$0
ear n.耳朵；听力，听觉$0
early ad.早 a.早的，早期的$0
earn vt.赚得，挣得；获得$0
earnest a.认真的，诚恳的$0
earth n.地球；陆地，地面$0
earthquake n.地震；大震荡$0
ease n.容易，舒适 vt.缓和$0
easily ad.容易地；舒适的$0
east n.东；东部 ad.在东方$0
eastern a.东方的；朝东的$0
easy a.容易的；安逸的$0
eat vt.吃，喝 vi.吃饭$0
echo n.回声，反响 vi.重复$0
economic a.经济的，经济学的$0
economical a.节约的；经济学的$0
economy n.经济；节约，节省$0
edge n.边缘，边；刀口$0
edition n.版，版本，版次$0
editor n.编辑，编者，校订者$0
educate vt.教育；培养；训练$0
education n.教育；训导；教育学$0
effect n.结果；效果，效力$0
effective a.有效的；有影响的$0
efficiency n.效率；功效，效能$0
efficient a.效率高的，有能力的$0
effort n.努力；努力的成果$0
egg n.蛋，鸡蛋，卵$0
eight num.八，八个，第八$0
eighteen num.十八，十八个$0
eighth num.第八 n.八分之一$0
eighty num.八十，八十个$0
either pron.(两者)任何一个$0
elaborate a.复杂的；精心制作的$0
elastic n.松紧带 a.有弹性的$0
elbow n.肘，肘部；弯管$0
elder a.年龄较大的 n.长者$0
elect vt.选举，推选；选择$0
election n.选举，选择权；当选$0
electric a.电的，电动的$0
electrical a.电的，电气科学的$0
electricity n.电，电学；电流$0
electron n.电子$0
electronic a.电子的$0
electronics n.电子学$0
element n.成分；要素；元素$0
elementary a.基本的；初级的$0
elephant n.象$0
elevator n.电梯；升降机$0
eleven num.十一，十一个$0
eleventh num.第十一(个)$0
eliminate vt.消灭，消除，排除$0
elimination n.消灭，排除，消除$0
else ad.其它，另外 a.别的$0
elsewhere ad.在别处，向别处$0
embarrass vt.使窘迫，使为难$0
embrace vt.拥抱；包括；包围$0
emerge vi.出现，涌现；冒出$0
emergency n.紧急情况，突然事件$0
emit vt.散发；发射；发表$0
emotion n.情感，感情；激动$0
emotional a.感情的，情绪的$0
emperor n.皇帝$0
emphasis n.强调，重点，重要性$0
emphasize vt.强调，着重$0
empire n.帝国$0
employ vi.雇用；用；使忙于$0
employee n.受雇者，雇员，雇工$0
employer n.雇佣者，雇主$0
employment n.工业；雇用；使用$0
empty a.空的；空洞的$0
enable vt.使能够，使可能$0
enclose vt.围住，圈起；附上$0
encounter vt.遭遇，遇到 n.遭遇$0
encourage vt.鼓励，支持，助长$0
end n.末端；目标 vt.结束$0
ending n.结尾，结局；死亡$0
endless a.无止境的$0
endure vt.忍受；容忍$0
enemy n.敌人；仇敌；敌兵$0
energy n.活力；精力；能$0
enforce vt.实施，执行；强制$0
engage vt.使从事于；聘用$0
engine n.发动机，引擎；机车$0
engineer n.工程师，技师$0
engineering n.工程，工程学$0
England n.英格兰；英国$0
English n.英语 a.英国人的$0
Englishman n.英国男子$0
enjoy vt.享受；欣赏，喜爱$0
enlarge vt.扩大，扩展；放大$0
enormous a.巨大的，庞大的$0
enough a.足够的 ad.足够地$0
ensure vt.保证；保护；赋予$0
enter vt.走进，进入；参加$0
entertain vt.使欢乐；招待$0
enthusiasm n.热情，热心，热忱$0
enthusiastic a.热情的，热心的$0
entire a.全部的，整个的$0
entitle vt.给…权利(或资格)$0
entrance n.入口，门口；进入$0
entry n.入口处；登记；进入$0
envelope n.信封；封套；封皮$0
environment n.环境，外界；围绕$0
envy vt.&n.妒忌；羡慕$0
equal a.相等的；平等的$0
equality n.等同，平等；相等$0
equation n.方程(式)；等式$0
equip vt.装备，配备$0
equipment n.装备，设备，配备$0
equivalent a.相等的；等量的$0
era n.时代，年代；纪元$0
erect vt.建造；使竖立$0
error n.错误，谬误；差错$0
escape vi.逃跑；逸出 n.逃跑$0
especially ad.特别，尤其，格外$0
essay n.短文，散文，小品文$0
essential a.必要的，本质的$0
establish vt.建立，设立；确立$0
establishment n.建立，设立，确立$0
estimate vt.估计，评价 n.估计$0
Europe n.欧洲$0
European a.欧洲的 n.欧洲人$0
evaluate vt.评价，估…的价$0
evaporate vt.使蒸发 vi.蒸发$0
eve n.前夜，前夕，前一刻$0
even ad.甚至；甚至更，还$0
even a.均匀的；平的$0
evening n.傍晚，黄昏，晚上$0
event n.事件，大事；事变$0
eventually ad.终于；最后$0
ever ad.在任何时候；曾经$0
every a.每一的；每隔…的$0
everybody pron.每人，人人$0
everyday a.每天的，日常的$0
everyone pron.每人，人人$0
everything pron.每件事，事事$0
everywhere ad.到处，处处$0
evidence n.根据；证据，证人$0
evident a.明显的，明白的$0
evil n.邪恶；祸害 a.坏的$0
evolution n.进化，演化；发展$0
evolve vt.使进化；使发展$0
exact a.确切的；精确的$0
exactly ad.确切地；恰恰正是$0
exaggerate vt.&vi.夸大，夸张$0
exam n.考试；检查，细查$0
examination n.考试；检查，细查$0
examine vt.检查，仔细观察$0
example n.例子，实例；模范$0
exceed vt.超过，胜过；超出$0
exceedingly ad.极端地，非常$0
excellent a.优秀的，杰出的$0
except prep.除…之外$0
exception n.例外，除外$0
excess n.超越；过量；过度$0
excessive a.过多的，极度的$0
exchange vt.交换；交流 n.交换$0
excite vt.使激动；引起$0
exciting a.令人兴奋的$0
exclaim vi.呼喊；惊叫$0
exclude vt.把…排除在外$0
exclusively ad.专门地$0
excursion n.远足；短途旅行$0
excuse vt.原谅；免除 n.借口$0
execute vt.将…处死；实施$0
executive a.执行的 n.执行者$0
exercise n.锻炼，训练 vi.练习$0
exert vt.尽(力)，运用$0
exhaust vt.使筋疲力尽；用尽$0
exhibit vt.显示；陈列，展览$0
exhibition n.展览，陈列；展览会$0
exist vi.存在；生存，生活$0
existence n.存在，实在；生存$0
exit n.出口；退场 vi.退出$0
expand vt.扩大；使膨胀$0
expansion n.扩大，扩充；扩张$0
expect vt.预料，预期；等待$0
expectation n.期待，期望，预期$0
expense n.花费，消费；费用$0
expensive a.昂贵的，花钱多的$0
experience n.经验，感受；经历$0
experiment n.实验；试验$0
experimental a.实验的，试验的$0
expert n.专家 a.熟练的$0
explain vt.解释；为…辩解$0
explanation n.解释，说明；辩解$0
explode vt.使爆炸 vi.爆炸$0
exploit vt.剥削；利用；开拓$0
explore vt.&vi.探险，探索$0
explosion n.爆炸，爆发，炸裂$0
explosive n.炸药 a.爆炸的$0
export vt.输出，出口；运走$0
expose vt.使暴露；揭露$0
exposure n.暴露；揭露；曝光$0
express vt.表示 n.快车，快递$0
expression n.词句；表达；表情$0
extend vt.延长；扩大；致$0
extension n.延长部分；伸展$0
extensive a.广阔的；广泛的$0
extent n.广度；范围；程度$0
exterior a.外部的；对外的$0
external a.外部的，外面的$0
extra a.额外的 ad.特别地$0
extraordinary a.非同寻常的，特别的$0
extreme a.极度的；尽头的$0
extremely ad.极端，极其，非常$0
eye n.眼睛；眼力；鉴赏力$0
eyesight n.视力，目力$0
facility n.设备；容易；便利$0
fact n.事实；实际，实情$0
factor n.因素；因子，系数$0
factory n.工厂，制造厂$0
faculty n.才能，能力；系，科$0
fade vi.褪色；逐渐消失$0
Fahrenheit n.华氏温度计$0
fail vi.失败；失灵；不能$0
failure n.失败；失败的人$0
faint a.微弱的；虚弱的$0
fair a.公平的；相当的$0
fair n.定期集市；博览会$0
fairly ad.相当；公平地$0
faith n.信任，信心；信仰$0
faithful a.忠诚的；如实的$0
fall vi.落下；跌倒；陷落$0
false a.不真实的；伪造的$0
fame n.名声，名望$0
familiar a.熟悉的；冒昧的$0
family n.家，家庭；家族$0
famine n.饥荒；严重的缺乏$0
famous a.著名的，出名的$0
fan n.(运动等)狂热爱好者$0
fan n.扇子，风扇 vt.扇$0
fancy n.想象力；设想；爱好$0
far a.远的 ad.远，遥远$0
fare n.车费，船费，票价$0
farewell int.再会 n.告别$0
farm n.农场，农庄；饲养场$0
farmer n.农民，农夫；农场主$0
farther ad.更远地 a.更远的$0
fashion n.样子，方式；风尚$0
fashionable a.流行的，时髦的$0
fast a.快的；偏快的 ad.快$0
fasten vt.扎牢，扣住$0
fatal a.致命的；命运的$0
fate n.命运，天数$0
father n.父亲；神父；创始人$0
father-in-law n.岳父；公公$0
fatigue n.疲劳，劳累$0
fault n.缺点；过失；故障$0
faulty a.有错误的，有缺点的$0
favour n.好感；赞同；恩惠$0
favourable a.有利的；赞成的$0
favourite a.特别受喜爱的$0
fear n.害怕；担心 vt.害怕$0
fearful a.害怕的，可怕的$0
feasible a.可行的；可能的$0
feast n.盛宴，筵席；节日$0
feather n.羽毛；翎毛；羽状物$0
feature n.特征，特色；面貌$0
February n.二月$0
federal a.联邦的；联盟的$0
fee n.费，酬金；赏金$0
feeble a.虚弱的；微弱的$0
feed vt.喂(养) vi.吃饲料$0
feedback n.回授，反馈，反应$0
feel vi.有知觉 vt.触，摸$0
feeling n.感情；感觉，知觉$0
fellow n.人，家伙；伙伴$0
female n.雌性的动物；女子$0
fence n.栅栏$0
fertile a.肥沃的；多产的$0
fertilizer n.肥料$0
festival n.节日；音乐节$0
fetch vt.拿来；请来，接去$0
fever n.发热，发烧；狂热$0
few a.很少的；少数的$0
fibre n.纤维，纤维质$0
fiction n.小说；虚构，杜撰$0
field n.田野；田；运动场$0
fierce a.凶猛的，狂热的$0
fifteen num.十五；十五个$0
fifth num.第五 n.五分之一$0
fifty num.五十，五十个$0
fight vi.打(仗)；斗争$0
figure n.数字；外形；人物$0
file n.档案 vt.把…归档$0
fill vt.装满，盛满；占满$0
film n.影片；胶卷；薄层$0
filter vt.过滤 n.滤纸$0
final a.最后的；决定性的$0
finally ad.最后；不可更改的$0
finance n.财政，金融；财源$0
financial a.财政的，金融的$0
find vt.找到；发觉；找出$0
finding n.发现；调查的结果$0
fine a.美好的；纤细的$0
fine n.罚金，罚款$0
finger n.手指；指状物$0
finish vt.完成，结束 n.结束$0
fire n.火；火灾 vi.开火$0
fireman n.消防队员；司炉工$0
firm n.商行，商号，公司$0
first num.第一 ad.最初$0
fish n.鱼，鱼肉 vi.钓鱼$0
fisherman n.渔民，渔夫，打鱼人$0
fist n.拳(头)$0
fit vt.适合；安装vi.适合$0
five num.五，五个，第五$0
fix vt.使固定；决定$0
flag n.旗，旗帜；旗舰旗$0
flame n.火焰；光辉；热情$0
flare vi.闪耀 vt.使闪亮$0
flash n.闪光 vi.闪，闪烁$0
flat a.平的，扁平的$0
flat n.一套房间；单元住宅$0
flavour n.味，味道；风味$0
fleet n.舰队；船队，机群$0
flesh n.肉，肌肉；肉体$0
flexible a.易弯曲的；灵活的$0
flight n.航班；飞行；逃跑$0
float vi.漂浮 vt.使漂浮$0
flock n.羊群，群；大量$0
flood n.洪水 vt.淹没$0
floor n.地板；楼层$0
flour n.面粉，粉；粉状物质$0
flourish vi.繁荣，茂盛，兴旺$0
flow vi.流动；飘垂；涨潮$0
flower n.花，花卉；开花$0
flu n.流行性感冒$0
fluent a.流利的，流畅的$0
fluid n.流体，液体$0
flush vi.奔流；(脸)发红$0
fly n.蝇，苍蝇 vi.飞行$0
focus vi.聚焦，注视 n.焦点$0
fog n.雾；烟雾，尘雾$0
fold vt.折叠；合拢 n.褶$0
folk n.人们，家属，亲属$0
follow vt.跟随；结果是$0
following a.接着的；下列的$0
fond a.喜爱的；溺爱的$0
food n.食物，食品，养料$0
fool n.蠢人，傻子 vt.欺骗$0
foolish a.愚蠢的；鲁莽的$0
foot n.脚；最下部；英尺$0
football n.足球比赛；足球$0
footstep n.脚步；脚步声；足迹$0
for prep.为；给；因为$0
forbid vt.禁止，不许；阻止$0
force vt.强迫 n.力，力量$0
forecast n.预测，预报 vt.预示$0
forehead n.额头，前部$0
foreign a.外国的；外来的$0
foreigner n.外国人$0
foremost a.最初的；第一流的$0
forest n.森林；森林地带$0
forever ad.永远，总是，老是$0
forget vt.忘记，遗忘$0
forgive vt.原谅，饶恕，宽恕$0
fork n.餐*；*；分*$0
form n.形式；形状 vt.形成$0
formal a.正式的；礼仪上的$0
formation n.形成；构成；形成物$0
former a.在前的 n.前者$0
formula n.公式，式$0
forth ad.向前；向外，往外$0
fortnight n.两星期，十四天$0
fortunate a.幸运的，侥幸的$0
fortunately ad.幸运地，幸亏$0
fortune n.命运，运气；财产$0
forty num.四十，第四十$0
forward ad.向前；今后，往后$0
found vt.创立，创办；建立$0
foundation n.基础；地基；基金$0
fountain n.泉水，喷泉；源泉$0
four num.四，四个，第四$0
fourteen num.十四，第十四$0
fourth num.第四，四分之一$0
fox n.狐狸；狡猾的人$0
fraction n.小部分；片断；分数$0
fragment n.碎片，破片，碎块$0
frame n.框架，框子；构架$0
framework n.框架，构架，结构$0
France n.法国，法兰西$0
frank a.坦白的，直率的$0
free a.自由的；空闲的$0
freedom n.自由；自主$0
freely ad.自由地；直率地$0
freeze vi.冻；结冻vt.使结冰$0
freight n.货运；货物；运费$0
French a.法国的 n.法国人$0
frequency n.屡次；次数；频率$0
frequent a.时常发生的；经常的$0
frequently ad.时常，常常$0
fresh a.新的；新鲜的$0
friction n.摩擦，摩擦力$0
Friday n.星期五$0
fridge n.电冰箱$0
friend n.朋友，友人$0
friendly a.友好的，友谊的$0
friendship n.友谊，友好$0
frighten vt.使惊恐，吓唬$0
frog n.蛙$0
from prep.从…来；离开$0
front a.前面的 n.前部$0
frontier n.边境；边疆；新领域$0
frost n.冰冻，严寒；霜$0
frown vi.皱眉，蹙额$0
fruit n.水果；果实；成果$0
fruitful a.多产的；肥沃的$0
fry vt.油煎，油炸，油炒$0
fuel n.燃料 vt.给…加燃料$0
fulfil vt.履行；满足；完成$0
full a.满的；完全的$0
fun n.乐趣，娱乐；玩笑$0
function n.功能；职务；函数$0
fund n.资金；基金；存款$0
fundamental a.基础的，基本的$0
funeral n.葬礼，丧礼，丧葬$0
funny a.古怪的；滑稽的$0
fur n.软毛；毛皮，裘皮$0
furious a.狂怒的；狂暴的$0
furnace n.炉子，熔炉；鼓风炉$0
furnish vt.供应，提供；装备$0
furniture n.家具；装置，设备$0
further ad.更远地 a.更远的$0
furthermore ad.而且，此外$0
future n.将来，未来；前途$0
gain vt.获得；增加 n.增进$0
gallery n.长廊，游廊；画廊$0
gallon n.加仑$0
game n.游戏；比赛；猎物$0
gang n.一帮，一伙$0
gap n.缺口；间隔；差距$0
garage n.车库；加油站$0
garbage n.垃圾，污物，废料$0
garden n.花园，菜园；公园$0
gardener n.园丁，花匠$0
gas n.煤气；气体；汽油$0
gaseous a.气体的，气态的$0
gasoline n.(美)汽油$0
gasp vi.气喘，喘息$0
gate n.大门；篱笆门$0
gather vi.聚集；集合vt.收集$0
gauge vt.量，测量 n.量器$0
gay a.快乐的；鲜明的$0
gaze vi.凝视，盯，注视$0
general a.总的；一般的n.将军$0
generally ad.一般地；通常地$0
generate vt.发生；引起；生殖$0
generation n.一代，一代人；产生$0
generator n.发电机；发生者$0
generous a.慷慨的；宽厚的$0
genius n.天才，天赋，天资$0
gentle a.和蔼的；轻柔的$0
gentleman n.绅士；有教养的人$0
gently ad.有礼貌地；柔和地$0
genuine a.真的；真正的$0
geography n.地理，地理学$0
geometry n.几何，几何学$0
germ n.微生物，细菌，幼芽$0
German a.德国的 n.德国人$0
Germany n.德意志，德国$0
gesture n.姿势，手势；姿态$0
get vi.变得，成为；到达$0
ghost n.鬼，灵魂；鬼魂$0
giant n.巨人；巨物$0
gift n.礼物，赠品；天赋$0
girl n.女孩子，姑娘；女儿$0
give vt.做，作；送给$0
glad a.高兴的；乐意的$0
glance vi.看一下 n.一瞥$0
glare vi.瞪眼 n.瞪眼$0
glass n.玻璃；玻璃杯$0
glide vi.滑动；消逝 n.滑行$0
glimpse vt.瞥见 n.一瞥，一看$0
glitter vi.闪闪发光 n.闪光$0
globe n.地球，世界；地界仪$0
gloomy a.黑暗的；令人沮丧的$0
glorious a.光荣的；壮丽的$0
glory n.光荣；荣誉的事$0
glove n.手套$0
glow n.白热光 vi.发白热光$0
glue n.胶，胶水 vt.胶合$0
go vi.去；走；变为$0
goal n.球门；得分；目的$0
goat n.山羊$0
God n.神，神像；上帝$0
